redshift	log_Sigma1kpc_Msun_kpc-2	log_sSFR1kpc_yr-1	xray_L_gt_5e43
1.37750006	10.10618558	-11.82470819	0
2.73090792	9.74999876	-9.00412544	0
1.45239210	10.21031507	-12.19096778	0
2.86321855	9.91841719	-8.85786390	0
2.04623795	10.28416001	-13.10845630	0
4.38190699	9.07011580	-8.38736175	0
1.76116300	10.28173993	-12.35224203	0
2.50252438	9.98015551	-10.89479796	0
4.44674253	9.70323280	-8.82731988	0
3.97000003	10.25728363	-8.61746662	0
1.80928147	9.92639209	-8.64736859	0
2.42395186	10.13632140	-10.56741022	0
4.96500015	8.85527865	-8.24033976	0
3.40925479	9.69716823	-8.68266034	0
0.73320001	10.07860461	-8.64130232	0
3.48852968	9.57335970	-8.74612510	0
4.47266912	8.99502477	-8.26875531	0
0.92510003	10.11887034	-12.80516621	0
2.86500001	10.49922783	-10.07537681	0
2.76957273	10.07463716	-10.25342542	0
4.45497751	8.95442471	-8.37758576	0
2.04701734	10.05897385	-10.70276552	0
2.10070324	9.98306089	-8.31592237	1
4.28970814	9.87769752	-8.32781991	0
2.09095788	10.45340751	-12.41549647	0
2.45202899	10.03496113	-11.00062257	0
3.46246266	10.12389872	-10.12797422	0
4.54277468	9.06295349	-8.23783971	0
4.45997429	9.51906158	-8.55812991	0
0.53219998	9.91555664	-11.93233269	0
4.40972233	9.00961291	-8.37222367	0
2.55539703	9.84583076	-12.01423181	0
2.47150350	10.09598652	-12.56706647	0
2.46743393	9.78491995	-12.90135475	0
4.12099981	9.68588614	-9.07608727	0
3.53276229	9.33961005	-8.34332334	0
2.79516482	10.39877221	-10.44409490	0
4.69607878	8.66625162	-8.20908069	0
4.63950014	8.94027729	-8.56064813	0
3.50039434	9.31477796	-9.04994326	0
2.54283834	9.66521056	-8.94500226	0
3.47639656	9.96837128	-8.94325700	0
4.29545593	9.14698538	-8.36488482	0
2.92633915	10.36956183	-10.06967745	0
3.00989580	9.80771071	-9.28420921	0
0.87830001	9.94062793	-12.58668131	0
2.10260010	10.11580530	-10.57653250	0
1.21700001	10.18580517	-12.87064419	0
2.10230017	9.89027900	-10.63686676	0
1.60327113	10.14420656	-8.43861190	1
1.52566004	10.05490739	-10.42171871	0
2.68760991	10.01385831	-10.30240298	0
4.54306650	9.17538670	-8.46245170	0
3.59667253	9.60106375	-8.54952187	0
3.46584105	9.83715454	-10.65041784	0
1.72380722	9.79736210	-9.17713775	0
4.09000015	9.23597320	-8.93692445	0
3.32784772	9.52767117	-9.94946340	0
4.93112803	8.97181479	-8.22525312	0
3.74824905	9.78673887	-9.72962229	0
2.07844281	10.03835143	-9.69454661	0
3.74284244	9.56714821	-8.98340948	0
4.56445169	9.14316699	-8.29780535	0
3.93600011	9.85694740	-8.25915235	0
2.51321006	9.82515480	-9.53240914	0
4.30715275	9.11754131	-8.49837508	0
1.92809606	10.38982978	-13.48817916	0
3.33183098	9.59866946	-8.83782516	0
3.48578882	9.82635207	-9.39113770	0
2.19675851	9.57835194	-8.48165898	0
1.58469999	10.37715108	-11.11478811	0
